product_id,product_title,rating,total_reviews,price,top_reviews
itm2af1ddd730862,DELL G15-5530 Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...,4,1,"₹69,546","3 Good Weight is too much. Other features are good READ MORE LAVAKUMAR  kambala Certified Buyer , Bengaluru Apr, 2024 73 13 Permalink Report Abuse"
itm836637f91bd3b,DELL 15 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,4.2,13,"₹65,639","5 Excellent Value of money,nice product READ MORE Ajay kumar  Shakya Certified Buyer , Bhind Jun, 2024 53 17 Permalink Report Abuse || 4 Wonderful This laptop is very useful for students for coading also others works is very smooth performance. READ MORE Aditya Kumar Certified Buyer , Thanesa 10 months ago 7 1 Permalink Report Abuse"
